sha,date,chrome,firefox,safari
606da537b9,2020-01-17,30532.489382569645,28556.480870109113,22941.45363875684
2f346208c2,2020-01-19,30538.839897060603,28557.088850841872,22941.15897763168
12d729aa10,2020-01-20,30541.15179793206,28562.420411515144,22943.104346457556
b3bb7d0e0a,2020-01-21,30544.64637177609,28562.9930001272,22947.96621514442
4d0e114698,2020-01-22,30548.874547581767,28557.39423991784,22949.371944661812
34b506104b,2020-01-23,30547.74055768278,28568.656415015095,22994.462625678327
b8251ea96a,2020-01-26,32052.468690928214,30140.538360701397,23758.99548142945
e1edaa3dd1,2020-01-27,32051.567791827314,30141.7284597113,23762.22345182037
cae87aeeef,2020-01-28,32058.236151245674,30150.526039469274,23770.608958591885
4017c88409,2020-01-30,34843.52818888555,33043.439699010225,25758.153692817417
7b091e1a06,2020-01-31,34846.79802297363,33056.88893345441,25759.185046434577
41d7c3597e,2020-02-01,34844.19714762349,33052.52495359678,25764.34325620709
c67d8f5bda,2020-02-02,34852.84327233211,33059.22965656708,25769.709445410037
5bfe66a906,2020-02-04,34859.19992817628,33058.85935591546,25775.89946869278
e3f453715b,2020-02-05,35607.30578072377,33065.94741983741,25783.516891040344
06fbef7e0a,2020-02-06,35637.3344270115,33082.8300516421,25788.216093751056
20bfb1dcce,2020-02-07,35658.585815900384,33109.209039540896,25834.812439720896
9638108f54,2020-02-08,35776.55957131164,33200.30087484619,25926.108954417767
b9e1acbefa,2020-02-13,35910.04276981727,33420.12985408618,26064.974816306327
c8671a2d15,2020-02-14,35924.38218333584,33498.42065342563,26159.013300943996
8636d919cb,2020-02-15,35927.41033866675,33499.98270809074,26164.558458400916
8037fe7f0d,2020-02-16,35927.22746875888,33523.16509787008,26161.086890415918
